location,district,rooms,size,level,max_levels,price
"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Шайхантахурский,1,43,2,4,37500
"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Шайхантахурский,2,58,2,4,47700
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,73,6,8,68000
"город Ташкент, Мирзо-Улугбекский район, Мухаммада Юсуфа (Дагестанская) ",Мирзо-Улугбекский,3,56,5,5,47000
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 4-й квартал",Мирзо-Улугбекский,4,80,4,4,27500
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,2,95,6,8,Договорная
"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,185,4,8,168000
"город Ташкент, Шайхантахурский район, Урда",Шайхантахурский,3,70,6,7,60000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,39,2,5,26700
"город Ташкент, Яшнободский район, Паркент",Яшнободский,3,100,2,8,80000
"город Ташкент, Янгихаётский район, Сергели-Vа",Янгихаётский,3,70,3,9,61900
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,3,80,4,5,56000
"город Ташкент, Шайхантахурский район, Алишера Навои",Шайхантахурский,4,140,4,7,126000
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,1,43,2,5,62000
"город Ташкент, Учтепинский район, Учтепа налоговый",Учтепинский,1,33,1,4,23000
"город Ташкент, Юнусабадский район, Юнусабад 1-й квартал",Юнусабадский,4,106,6,9,74000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,84,7,8,85000
"город Ташкент, Яккасарайский район, 1-й проезд Шота Руставели",Яккасарайский,2,57,3,4,54000
"город Ташкент, Яккасарайский район, 1-й проезд Шота Руставели",Яккасарайский,2,62,6,9,55000
"город Ташкент, Шайхантахурский район, проспект Бунёдкор",Шайхантахурский,3,70,4,4,62000
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,3,65,4,4,34200
"город Ташкент, Олмазорский район, Бируни-1",Олмазорский,3,120,2,5,95000
"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,4,120,1,4,135000
"город Ташкент, Шайхантахурский район, Хадра",Шайхантахурский,2,58,2,4,48000
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,4,82,4,4,59000
"город Ташкент, Яшнободский район, Городок Авиастроителей 3-й квартал",Яшнободский,2,43,1,4,29500
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,75,6,9,65000
"город Ташкент, Яшнободский район, Паркент",Яшнободский,2,59,6,8,36000
"город Ташкент, Мирзо-Улугбекский район, Г. Ташкент МирзоУлугбекский р",Мирзо-Улугбекский,1,35,3,4,28000
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,77.60,4,5,65000
"город Ташкент, Мирабадский район, Ул Чехова",Мирабадский,4,184,2,7,305000
"город Ташкент, Яккасарайский район, 1-й проезд Ракат",Яккасарайский,4,90,3,4,90000
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,4,190,3,8,365000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,5,109,3,5,80000
"город Ташкент, Чиланзарский район, Мевазор",Чиланзарский,4,80,3,5,45000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,80,6,7,75000
"город Ташкент, Юнусабадский район, Юнусабад 15-й квартал",Юнусабадский,2,50,3,4,38500
"город Ташкент, Юнусабадский район, Юнусабад 1-й квартал",Юнусабадский,4,100,6,9,82000
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,3,68,5,5,36200
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,3,78,5,9,50000
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,4,105,6,9,60000
"город Ташкент, Олмазорский район, Нурафшон 43",Олмазорский,2,59.31,1,7,40000
"город Ташкент, Юнусабадский район, Шахристанская",Юнусабадский,2,50,1,4,43000
"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,100,13,25,125000
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,4,110,4,9,60000
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,50,3,4,42500
"город Ташкент, Яшнободский район, Алтынтепа",Яшнободский,3,90,4,7,90000
"город Ташкент, Мирабадский район, Фаровон",Мирабадский,4,151,2,8,385000
"город Ташкент, Яшнободский район, 1-й переулок Бойкургон",Яшнободский,1,39,2,4,24000
"город Ташкент, Яшнободский район, Чилонота",Яшнободский,2,57,1,6,28500
"город Ташкент, Мирзо-Улугбекский район, 1-й Паркентский проезд",Мирзо-Улугбекский,5,140,3,8,98000
"город Ташкент, Шайхантахурский район, Самарканд-Дарвоза",Шайхантахурский,2,56.14,3,4,40000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,83,2,8,77000
"город Ташкент, Яшнободский район, Паркент",Яшнободский,3,86,4,9,90000
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,3,84,7,8,80000
"город Ташкент, Яшнободский район, Паркент",Яшнободский,1,27,1,3,22500
"город Ташкент, Яшнободский район, Паркент",Яшнободский,2,63,8,9,42000
"город Ташкент, Мирзо-Улугбекский район, Садык Азимова",Мирзо-Улугбекский,3,75,6,9,80000
"город Ташкент, Мирзо-Улугбекский район, Дархон",Мирзо-Улугбекский,2,45,4,4,36000
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,1,40,4,4,35000
"город Ташкент, Яккасарайский район, Тезиковая дача",Яккасарайский,3,73,2,10,82000
"город Ташкент, Мирабадский район, Цум",Мирабадский,3,75,6,9,110000
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,4,190,3,8,365000
"город Ташкент, Мирзо-Улугбекский район, Ц-1 (ул. Гоголя)",Мирзо-Улугбекский,3,80,3,4,120000
"город Ташкент, Юнусабадский район, Ц-5",Юнусабадский,1,50,7,9,39000
"город Ташкент, Мирзо-Улугбекский район, Хамид Алимжан",Мирзо-Улугбекский,3,95,5,18,67000
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,100,5,9,110000
"город Ташкент, Юнусабадский район, Ц-6",Юнусабадский,3,75,3,4,73000
"город Ташкент, Мирабадский район, Ул.Кунаев",Мирабадский,2,65,3,9,78000
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,55,1,9,43000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,3,72,3,4,45000
"город Ташкент, Яшнободский район, Тузель 3-й квартал",Яшнободский,2,58.80,5,5,28000
"город Ташкент, Мирабадский район, Нукуская",Мирабадский,2,63,2,6,89000
"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,2,65,3,4,56500
"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,3,93,4,4,65000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,120,1,4,135000
"город Ташкент, Шайхантахурский район, Ипакчи",Шайхантахурский,6,268,1,3,260000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,38,2,5,26700
"город Ташкент, Чиланзарский район, Чиланзар 6 квартал",Чиланзарский,2,42,1,4,42900
"город Ташкент, Мирабадский район, Т Шевченко",Мирабадский,5,225,5,8,350000
"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,2,62,1,4,40000
"город Ташкент, Учтепинский район, Ул. Ширин",Учтепинский,2,49,4,4,30000
"город Ташкент, Сергелийский район, Сергели-IV",Сергелийский,2,56.20,4,5,29500
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,2,46,4,5,26500
"город Ташкент, Мирзо-Улугбекский район, Асака",Мирзо-Улугбекский,4,157,5,9,201493
"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,2,55,4,5,54000
"город Ташкент, Яшнободский район, Илтифот",Яшнободский,1,34,4,5,18000
"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,7,230,2,5,1000
"город Ташкент, Шайхантахурский район, Жангох",Шайхантахурский,2,62,4,8,62000
"город Ташкент, Шайхантахурский район, Джарарык",Шайхантахурский,3,70,4,4,45000
"город Ташкент, Яккасарайский район, Ул.Саламатина",Яккасарайский,1,26,1,4,30000
"город Ташкент, Мирзо-Улугбекский район, 7-й проезд Бозбозор",Мирзо-Улугбекский,3,115,2,9,115000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,3,75,3,4,71000
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,3,78,2,5,60000
"город Ташкент, Юнусабадский район, Юнусабад 1-й квартал",Юнусабадский,2,81,9,9,55000
"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,4,92,2,5,60000
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,3,75,7,9,39500
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,53,3,4,51000
"город Ташкент, Олмазорский район, Каракамыш квартал 2/4",Олмазорский,5,97,3,4,60000
"город Ташкент, Сергелийский район, Куйлюк 6-й квартал",Сергелийский,3,80,8,9,41000
"город Ташкент, Чиланзарский район, Паспортный",Чиланзарский,2,48,1,4,34500
"город Ташкент, Мирабадский район, Янгизамон",Мирабадский,3,65,2,2,32500
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,58,1,9,39500
"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,3,68,5,5,34500
"город Ташкент, Чиланзарский район, Чиланзар-Ц",Чиланзарский,3,65,1,4,54000
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,3,70,2,4,46000
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,1,26,1,4,28000
"город Ташкент, Чиланзарский район, Чиланзар-18",Чиланзарский,2,65,1,9,41000
"город Ташкент, Учтепинский район, Чиланзар-13",Учтепинский,2,56,3,5,33000
"город Ташкент, Чиланзарский район, Чиланзар-5",Чиланзарский,2,56,2,4,39500
"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,2,50,3,5,35500
"город Ташкент, Чиланзарский район, Дилобод",Чиланзарский,2,68,4,5,38000
"город Ташкент, Чиланзарский район, проспект Бунёдкор",Чиланзарский,1,30,2,5,26000
"город Ташкент, Чиланзарский район, Чиланзар-Ц",Чиланзарский,1,36,2,4,29500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,4,4,25500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,46,2,4,29500
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,70,6,16,42000
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,4,75.80,3,5,58000
"город Ташкент, Чиланзарский район, 17квартал",Чиланзарский,1,34,1,4,27000
"город Ташкент, Чиланзарский район, Чиланзар-2",Чиланзарский,1,30,2,4,25200
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,38,2,5,26700
"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,2,50,1,4,38000
"город Ташкент, Чиланзарский район, 1-й проезд Богобод",Чиланзарский,1,32,2,4,26000
"город Ташкент, Яшнободский район, Махтумкули",Яшнободский,2,62,2,7,55000
"город Ташкент, Чиланзарский район, Мукимий",Чиланзарский,3,70,3,4,48000
"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,3,260,1,6,235000
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,3,72,1,4,47500
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,55,2,4,35000
"город Ташкент, Чиланзарский район, Парус",Чиланзарский,1,30,2,4,26000
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,60,4,4,33500
"город Ташкент, Чиланзарский район, Ровд",Чиланзарский,1,32,3,4,25000
"город Ташкент, Мирзо-Улугбекский район, Дом быта",Мирзо-Улугбекский,1,30,3,4,22000
"город Ташкент, Мирзо-Улугбекский район, Максим горький",Мирзо-Улугбекский,1,30,1,4,22500
"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,2,45,1,4,35000
"город Ташкент, Яшнободский район, Боткино",Яшнободский,2,40,1,4,28000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,43,1,5,30500
"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,3,75,3,4,73000
"город Ташкент, Мирзо-Улугбекский район, пр-т Мустакиллик",Мирзо-Улугбекский,1,50,4,18,60000
"город Ташкент, Яшнободский район, Авиасозлар- Янгиобод",Яшнободский,2,51,4,6,27000
"город Ташкент, Учтепинский район, Ширин",Учтепинский,4,68,5,5,40000
"город Ташкент, Юнусабадский район, Шахристанская",Юнусабадский,4,90,2,4,77000
"город Ташкент, Яшнободский район, 1-й Акдарьинский тупик",Яшнободский,4,100,5,5,43000
"город Ташкент, Чиланзарский район, Чиланзар 2 квартал",Чиланзарский,1,27,1,4,28500
"город Ташкент, Сергелийский район, Дустлик 2",Сергелийский,4,98,2,9,41000
"город Ташкент, Чиланзарский район, Ровд",Чиланзарский,1,39,3,4,26000
"город Ташкент, Сергелийский район, Ровд",Сергелийский,1,48,4,5,27000
"город Ташкент, Шайхантахурский район, Ганга",Шайхантахурский,1,42,2,12,41200
"город Ташкент, Мирабадский район, Глинка",Мирабадский,2,48,1,4,40000
"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,48,2,4,34000
"город Ташкент, Яшнободский район, Мухтар Ашрафи",Яшнободский,2,36,3,4,21000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,2,50,5,8,29000
"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,1,35,4,4,26500
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,5,120,5,9,85000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,38,2,5,26700
"город Ташкент, Юнусабадский район, Кашкар",Юнусабадский,1,43,2,5,62000
"город Ташкент, Мирабадский район, Фаровон",Мирабадский,5,225,1,5,215000
"город Ташкент, Шайхантахурский район, Урда",Шайхантахурский,2,70,3,7,59000
"город Ташкент, Учтепинский район, Учтеп ровд",Учтепинский,3,61,3,4,42000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,51,1,4,33000
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,3,75,8,9,51000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,140,1,4,110000
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,60,1,4,60000
"город Ташкент, Шайхантахурский район, Чорсу",Шайхантахурский,2,84,3,4,73000
"город Ташкент, Яшнободский район, Городок Авиастроителей 3-й квартал",Яшнободский,2,46,1,1,27000
"город Ташкент, Яшнободский район, Махтумкули",Яшнободский,3,77,5,7,80000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,5,120,7,9,108000
"город Ташкент, Мирзо-Улугбекский район, набережная Карасу",Мирзо-Улугбекский,3,78,3,5,52991
"город Ташкент, Мирзо-Улугбекский район, набережная Карасу",Мирзо-Улугбекский,2,60,5,5,35000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,4,78,4,5,63000
"город Ташкент, Сергелийский район, Узгариш",Сергелийский,2,60,3,4,Договорная
"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,120,1,5,135000
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,53,5,8,43500
"город Ташкент, Яшнободский район, жилой комплекс Green Park",Яшнободский,3,75,4,9,63000
"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,1,33,2,4,24000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,107,4,7,87000
"город Ташкент, Мирзо-Улугбекский район, Тамары Ханум",Мирзо-Улугбекский,4,100,3,4,95000
"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,3,95,7,10,140000
"город Ташкент, Мирзо-Улугбекский район, Дархон",Мирзо-Улугбекский,4,90,3,4,73000
"город Ташкент, Мирзо-Улугбекский район, набережная Карасу",Мирзо-Улугбекский,5,110,5,5,50000
"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,1,16.70,3,4,27000
"город Ташкент, Яшнободский район, Паркент",Яшнободский,3,72,7,8,52000
"город Ташкент, Мирабадский район, 2-й проезд Куйлюк",Мирабадский,3,75,6,9,57500
"город Ташкент, Яккасарайский район, жилой комплекс Dream House",Яккасарайский,3,105,4,9,150000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,70,8,9,65000
"город Ташкент, Бектемирский район, Сувсоз-2 (Водник-2) ",Бектемирский,3,58,6,9,28000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,3,70,1,5,57000
"город Ташкент, Мирзо-Улугбекский район, Массив феруза",Мирзо-Улугбекский,2,47,3,5,30000
"город Ташкент, Мирабадский район, Ул чехова",Мирабадский,4,185,4,6,350000
"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Юнусабадский,3,74,3,4,63000
"город Ташкент, Олмазорский район, Олимпия",Олмазорский,3,70,4,4,37500
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,51,2,4,34800
"город Ташкент, Мирзо-Улугбекский район, Карасу 2",Мирзо-Улугбекский,2,68,4,4,45000
"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,2,50,3,4,36500
"город Ташкент, Олмазорский район, Фараби",Олмазорский,3,117,3,6,84000
"город Ташкент, Юнусабадский район, Гайратий",Юнусабадский,3,80,2,5,53000
"город Ташкент, Мирабадский район, Янги Миробод",Мирабадский,3,65,4,4,57000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,5,120,7,9,108000
"город Ташкент, Яшнободский район, Тузель-3",Яшнободский,4,89,6,9,51000
"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,2,66.40,2,8,55000
"город Ташкент, Олмазорский район, Камарнисо",Олмазорский,3,183,3,4,90000
"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,1,44,2,9,27000
"город Ташкент, Чиланзарский район, Метро Хамза",Чиланзарский,2,55,1,4,41000
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,4,5,27000
"город Ташкент, Сергелийский район, Строитель",Сергелийский,4,110,8,9,55000
"город Ташкент, Шайхантахурский район, Кора тош",Шайхантахурский,4,100,5,9,73000
"город Ташкент, Шайхантахурский район, 1-й проезд Бог",Шайхантахурский,2,55,4,9,33000
"город Ташкент, Олмазорский район, Медгородок",Олмазорский,6,175,5,6,Договорная
"город Ташкент, Юнусабадский район, Ц-5",Юнусабадский,3,70,8,9,57000
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,58,4,5,34500
"город Ташкент, Мирзо-Улугбекский район, Ул.Лафарг",Мирзо-Улугбекский,2,65,4,4,63000
"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,3,68,4,4,37500
"город Ташкент, Яккасарайский район, Golden Hause",Яккасарайский,3,70,6,8,82000
"город Ташкент, Яшнободский район, Янгинур",Яшнободский,2,84,5,6,33600
"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,3,113,5,8,56900
"город Ташкент, Яшнободский район, Чилонота",Яшнободский,3,87,4,6,34800
"город Ташкент, Юнусабадский район, Янги Юнусабад",Юнусабадский,6,137,6,9,89050
"город Ташкент, Яшнободский район, М Реозий",Яшнободский,3,75,5,5,Договорная
"город Ташкент, Юнусабадский район, 2-й проезд Хушнаво",Юнусабадский,4,79,2,4,55000
"город Ташкент, Яккасарайский район, Ракат махаля ориентир Корзинка",Яккасарайский,4,90,3,4,90000
"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,75,5,9,63000
"город Ташкент, Юнусабадский район, Ц-5",Юнусабадский,5,215,4,9,161000
"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,2,60,3,5,32000
"город Ташкент, Мирзо-Улугбекский район, Мирзо-Улугбекский район массив Феруза-2",Мирзо-Улугбекский,3,72,4,4,41000
"город Ташкент, Мирзо-Улугбекский район, Бауманова",Мирзо-Улугбекский,1,35,1,4,24500
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,66,4,5,41500
"город Ташкент, Юнусабадский район, 1-й проезд А. Закирова",Юнусабадский,3,67,3,4,57000
"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,4,110,12,12,68000
"город Ташкент, Мирзо-Улугбекский район, 2-й Паркентский проезд",Мирзо-Улугбекский,3,75,5,9,41500
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,100,1,4,87000
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,3,75,7,9,39500
"город Ташкент, Учтепинский район, 30 kvartal 29 dom",Учтепинский,3,80,3,12,47500
"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,3,94,2,5,67000
"город Ташкент, Олмазорский район, Карасарайская",Олмазорский,2,74,4,9,41500
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,3,85,1,4,110000
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,4,130,3,8,210000
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,65,4,5,42000
"город Ташкент, Яшнободский район, Мавлоно Риёзи",Яшнободский,3,75,5,9,41500
"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,1,35,2,4,27000
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,3,75,7,9,39500
"город Ташкент, Яшнободский район, Корасув (Лисунова) ",Яшнободский,3,75.41,10,10,35000
"город Ташкент, Мирзо-Улугбекский район, 1-й Паркентский проезд",Мирзо-Улугбекский,1,40,3,3,30500
"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана",Мирзо-Улугбекский,2,72,18,19,55000
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,10,448,7,7,425600
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,4,88,4,5,47500
"город Ташкент, Мирабадский район, Фергана Йули",Мирабадский,1,28,2,4,25500
"город Ташкент, Чиланзарский район, Чиланзар 6 квартал",Чиланзарский,1,28,1,4,29500
"город Ташкент, Чиланзарский район, Метро Хамза",Чиланзарский,2,55,1,4,41000
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,3,80,4,5,44000
"город Ташкент, Мирабадский район, Айбека (пр-т Косманавтов) ",Мирабадский,6,160,4,9,130000
"город Ташкент, Яшнободский район, 1-й Акдарьинский проезд",Яшнободский,2,49,2,2,25000
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,62,4,4,53000
"город Ташкент, Яшнободский район, Рисовый",Яшнободский,1,20,3,4,12800
"город Ташкент, Юнусабадский район, ц-4 Кашгар (Ц-4) ",Юнусабадский,3,60,3,3,70000
"город Ташкент, Чиланзарский район, площадь Дружбы Народов",Чиланзарский,5,130,2,9,110000
"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,3,80,10,16,70000
"город Ташкент, Мирзо-Улугбекский район, 1-й Асакинский проезд",Мирзо-Улугбекский,3,96,5,5,Договорная
"город Ташкент, Юнусабадский район, Юнусабад 19-й квартал",Юнусабадский,3,78,1,5,56000
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,5,109,3,5,80000
"город Ташкент, Олмазорский район, Олмазорский район массив Себзар",Олмазорский,2,78,9,9,40500
"город Ташкент, Чиланзарский район, Жиковский",Чиланзарский,2,48,1,4,39000
"город Ташкент, Олмазорский район, Олмазорский район массив Себзар",Олмазорский,1,30.50,9,9,21500
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,3,72,3,5,97500
"город Ташкент, Шайхантахурский район, Джарарык",Шайхантахурский,3,85,2,9,52000
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,2,56.89,2,5,48000
"город Ташкент, Чиланзарский район, Чиланзар-8 ориентир ЗАГС",Чиланзарский,1,35,1,4,28800
"город Ташкент, Юнусабадский район, Уч Кахрамон",Юнусабадский,1,45,5,5,24200
"город Ташкент, Мирабадский район, Нукус",Мирабадский,3,128,6,12,89000
"город Ташкент, Чиланзарский район, Чиланзар-1",Чиланзарский,1,32,3,5,28500
"город Ташкент, Юнусабадский район, Юнусабад-6",Юнусабадский,2,50,3,4,31000
"город Ташкент, Учтепинский район, Кухна-Чупонота массив Чиланзар 13-й квартал",Учтепинский,4,93,4,4,77000
"город Ташкент, Учтепинский район, Кухна-Чупонота массив Чиланзар 13-й квартал",Учтепинский,3,79,3,4,67000
"город Ташкент, Учтепинский район, Chtepa Foziltepa  22dom",Учтепинский,4,72,2,5,52000000
"город Ташкент, Шайхантахурский район, 8-й проезд Бельтепа",Шайхантахурский,3,78,4,4,48000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,100,6,7,75000
"город Ташкент, Шайхантахурский район, Бельтепа",Шайхантахурский,4,125,1,5,118000
"город Ташкент, Юнусабадский район, Гайратий",Юнусабадский,4,138,2,4,84000
"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,65,4,5,59500
"город Ташкент, Шайхантахурский район, Бельтепа",Шайхантахурский,3,88,2,5,100000
"город Ташкент, Юнусабадский район, Юнусабад 1-й квартал",Юнусабадский,3,80,2,7,90000
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,5,182,7,8,160000
"город Ташкент, Юнусабадский район, Юнусабад 9кв",Юнусабадский,3,78,2,5,52500
"город Ташкент, Юнусабадский район, Юнусабад 7-й квартал",Юнусабадский,4,86,3,4,48000
"город Ташкент, Юнусабадский район, Юнусабад 7кв",Юнусабадский,2,53,4,4,31500
"город Ташкент, Мирабадский район, Таллимаржон",Мирабадский,3,72,3,9,52000
"город Ташкент, Юнусабадский район, Юнусабад 15-й квартал",Юнусабадский,2,50,3,4,34000
"город Ташкент, Шайхантахурский район, Массив бешагач 7",Шайхантахурский,4,84,4,4,79000
"город Ташкент, Чиланзарский район, Чиланзар-3",Чиланзарский,2,40,3,4,33800
"город Ташкент, Мирзо-Улугбекский район, Ц1",Мирзо-Улугбекский,1,45,2,4,50000
"город Ташкент, Янгихаётский район, Кипчак",Янгихаётский,3,73,1,7,Договорная
"город Ташкент, Сергелийский район, Мирзы Турсунзаде",Сергелийский,4,84,7,9,70000
"город Ташкент, Чиланзарский район, Алгоритм",Чиланзарский,3,70,2,4,46000
"город Ташкент, Шайхантахурский район, 1-й проезд Бог",Шайхантахурский,3,67,1,5,52000
"город Ташкент, Сергелийский район, Янги Куйлюк",Сергелийский,1,38,1,5,23000
